NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1157,E3040100035111,総合体育館,和歌山県白浜町29-3,,,,33.692504052216,135.3541772449,
1158,E3040100034111,三段町内会館,和歌山県白浜町2927-317,,,,33.665843772748,135.33740588975,
1159,E3040100047111,阪田集会所,和歌山県白浜町33,,,,33.691944487795,135.35464780941,
1160,E3040100048111,白良湯集会所,和歌山県白浜町3313-1,,,,33.68302380744,135.34450760123,
1161,E3040100052111,綱不知会館,和歌山県白浜町3354-1,,,,33.685031922445,135.35522001414,
1162,E3040100061111,羽衣会館,和歌山県白浜町3781-22,,,,33.681891194995,135.3558187287,
1163,E3040100062111,立ケ谷会館,和歌山県白浜町3782,,,,33.676862008616,135.36067623139,
1164,E3040100063111,瀬戸会館,和歌山県白浜町620,,,,33.689263600676,135.3452108874,
1165,E3040100064111,老人憩いの家　松湯荘,和歌山県白浜町743-1,,,,33.686147536554,135.34398445767,
1166,E3040100067111,小田時男氏宅,和歌山県白浜町安居1269-5,,,,33.609317104959,135.48069884617,
1167,E3040100068111,安居集会所,和歌山県白浜町安居6-1,,,,33.607411678804,135.4822813405,
1168,E3040100069111,大圓寺,和歌山県白浜町安居621,,,,33.608244537916,135.48158951753,
1169,E3040100070111,三舞中学校,和歌山県白浜町安居635,,,,33.607436355656,135.48069335882,
1170,E3040100071111,広井トシヱ氏宅,和歌山県白浜町安居983,,,,33.61355525948,135.48591296659,
1171,E3040100072111,安宅小学校,和歌山県白浜町安宅217,,,,33.578359996299,135.46567731268,
1172,E3040100073111,安楽寺,和歌山県白浜町安宅386,1,,,33.581640491446,135.47470207867,
1173,E3040100074111,住民交流センター,和歌山県白浜町安宅461-1,,,,33.578356927179,135.4697636982,
1174,E3040100079111,宝蔵寺,和歌山県白浜町宇津木221-2,,,,33.655125904316,135.49336705462,
1175,E3040100081111,観福寺,和歌山県白浜町栄162,,,,33.655124419233,135.39534154773,
1176,E3040100082111,富田中学校,和歌山県白浜町栄320,,,,33.655885921773,135.39203004755,
1177,E3040100083111,紀伊富田みのり館,和歌山県白浜町栄539-3,,,,33.652744129511,135.3934788798,
1178,E3040100084111,農業研修会館,和歌山県白浜町栄670-2,,,,33.653084092042,135.39623864923,
1179,E3040100085111,富田事務所,和歌山県白浜町栄731-5,,,,33.653157765933,135.39741305776,
1180,E3040100087111,薬師寺,和歌山県白浜町塩野166,,,,33.568277709772,135.45972870032,
1181,E3040100090111,塩野青年会館,和歌山県白浜町塩野30,,,,33.570927863498,135.46006426802,
1182,E3040100091111,伊古木青年会館,和歌山県白浜町塩野412,,,,33.552621406647,135.46098159444,
1183,E3040100095111,久木集会所,和歌山県白浜町久木349,,,,33.638021013512,135.47014137316,
1184,E3040100096111,光明寺,和歌山県白浜町玉伝237,,,,33.65985902278,135.51024398212,
1185,E3040100097111,岡畑氏宅前県道敷,和歌山県白浜町玉伝687,,,,33.657920571239,135.50960176186,
1186,E3040100098111,西町内会館,和歌山県白浜町堅田1020-18,,,,33.666573055359,135.38322115171,
1187,E3040100099111,聖福寺,和歌山県白浜町堅田1211,1,,,33.669856110469,135.3858522314,
1188,E3040100100111,中央町内会館,和歌山県白浜町堅田1261,,,,33.6695438927,135.38630239331,
1189,E3040100103111,上観音,和歌山県白浜町堅田1507,1,,,33.679760336707,135.38765720187,
1190,E3040100104111,上集会所,和歌山県白浜町堅田1534-2,,,,33.680228007218,135.38886293628,
1191,E3040100105111,三ッ橋集会所,和歌山県白浜町堅田2038,,,,33.678262605804,135.38450472315,
1192,E3040100106111,細野会館,和歌山県白浜町堅田2039-8,,,,33.680204191925,135.38042995507,
1193,E3040100108111,櫛ケ峯集会所,和歌山県白浜町堅田2399-469,1,,,33.676186727923,135.37634397144,
1194,E3040100110111,西越集会所,和歌山県白浜町堅田2487-6,1,,,33.677796635825,135.38010190151,
1195,E3040100120111,大坪集会所,和歌山県白浜町堅田314,,,,33.673275244335,135.38775129015,
1196,E3040100123111,東町内会館,和歌山県白浜町堅田475,,,,33.668772238693,135.38858326536,
1197,E3040100126111,尾崎義治氏宅,和歌山県白浜町口ケ谷335,,,,33.602749956389,135.47392091226,
1198,E3040100127111,井村晃氏宅,和歌山県白浜町口ケ谷368-1,,,,33.604088026182,135.47418032377,
1199,E3040100128111,山崎勤氏宅,和歌山県白浜町口ケ谷500-1,,,,33.602915160224,135.46653867523,
1200,E3040100129111,奥野静子氏宅,和歌山県白浜町口ケ谷517,,,,33.602092489516,135.46511709249,
1201,E3040100130111,口ヶ谷集会所,和歌山県白浜町口ケ谷580-2,,,,33.601802321675,135.46486521527,
1202,E3040100131111,上野勝也氏宅,和歌山県白浜町口ケ谷633,,,,33.602851589464,135.46227191764,
1203,E3040100132111,向平地区集会所,和歌山県白浜町向平159,,,,33.631683306342,135.47439733551,
1204,E3040100135111,芦長集会所,和歌山県白浜町才野1304-3,,,,33.662938981135,135.38017124735,
1205,E3040100136111,白浜漁協鴨居支所,和歌山県白浜町才野1461-2,,,,33.65649020697,135.36394536085,
1206,E3040100146111,西富田小学校,和歌山県白浜町才野47,1,,,33.662848334124,135.38672851513,
1207,E3040100147111,才野会館,和歌山県白浜町才野670-1,,,,33.658632833263,135.38644420771,
1208,E3040100148111,老人憩いの家「茶の実荘」,和歌山県白浜町市鹿野1039,,,,33.656671807972,135.53538014396,
1209,E3040100149111,川添山村活性化支援センター,和歌山県白浜町市鹿野1100,,,,33.657959821566,135.53385991317,
1210,E3040100150111,滝区民会館,和歌山県白浜町市鹿野1288-2,,,,33.67062982674,135.54296275083,
1211,E3040100151111,清水和美氏茶園,和歌山県白浜町市鹿野1491,,,,33.668163663657,135.54527507372,
1212,E3040100152111,殿山次子氏宅,和歌山県白浜町市鹿野1841-1,,,,33.677766354753,135.54594175257,
